transaction_id,batch_id,amount,currency,status,received_at,settled_at,bank_reference
DEMO001,BATCH001,1250,INR,SETTLED,01-09-2026 14:00,01-09-2026 14:05,BNK9001
DEMO002,BATCH002,2400,INR,PENDING,01-09-2026 15:00,,BNK9002
DEMO003,BATCH003,3100,INR,SETTLED,01-09-2026 12:00,01-09-2026 12:10,BNK9003
DEMO004,BATCH004,1200,INR,SETTLED,01-09-2026 14:30,01-09-2026 14:35,BNK9004
DEMO007,BATCH007,950,INR,REJECTED,01-09-2026 17:00,,BNK9007
DEMO008,BATCH008,2200,USD,SETTLED,01-09-2026 18:30,01-09-2026 18:35,BNK9008
DEMO009,BATCH009,1800,INR,SETTLED,01-09-2026 11:00,01-09-2026 15:00,BNK9009
DEMO010,BATCH010,3300,INR,SETTLED,01-09-2026 19:30,01-09-2026 19:35,BNK9010
DEMO011,BATCH011,5000,INR,PENDING,01-09-2026 21:00,,BNK9011
TXN001,BATCH5000,8000,INR,SETTLED,01-09-2026 08:44,01-09-2026 10:56,BNK10001
TXN002,BATCH5000,10000,INR,SETTLED,03-09-2026 09:44,03-09-2026 12:43,BNK10002
TXN003,BATCH5000,1500,INR,SETTLED,03-09-2026 08:31,03-09-2026 11:04,BNK10003
TXN004,BATCH5000,1800,INR,SETTLED,01-09-2026 13:55,01-09-2026 15:54,BNK10004
TXN005,BATCH5000,20000,INR,SETTLED,02-09-2026 11:36,02-09-2026 14:00,BNK10005
TXN006,BATCH5000,7500,INR,SETTLED,02-09-2026 10:22,02-09-2026 11:52,BNK10006
TXN007,BATCH5000,2000,INR,SETTLED,03-09-2026 18:47,03-09-2026 22:19,BNK10007
TXN008,BATCH5000,20000,INR,SETTLED,02-09-2026 11:31,02-09-2026 13:12,BNK10008
TXN009,BATCH5000,8000,INR,SETTLED,02-09-2026 15:14,02-09-2026 15:41,BNK10009
TXN010,BATCH5001,7500,INR,SETTLED,03-09-2026 13:15,03-09-2026 16:04,BNK10010
TXN011,BATCH5001,1800,INR,SETTLED,03-09-2026 15:41,03-09-2026 18:36,BNK10011
TXN012,BATCH5001,2400,INR,SETTLED,02-09-2026 15:58,02-09-2026 18:46,BNK10012
TXN013,BATCH5001,3000,INR,SETTLED,03-09-2026 22:12,04-09-2026 00:57,BNK10013
TXN014,BATCH5001,5000,INR,SETTLED,02-09-2026 22:29,03-09-2026 00:12,BNK10014
TXN015,BATCH5001,4200,INR,SETTLED,02-09-2026 10:27,02-09-2026 13:29,BNK10015
TXN016,BATCH5001,10000,INR,SETTLED,02-09-2026 11:39,02-09-2026 12:41,BNK10016
TXN017,BATCH5001,500,INR,SETTLED,03-09-2026 13:27,03-09-2026 14:05,BNK10017
TXN018,BATCH5001,2000,INR,SETTLED,02-09-2026 14:37,02-09-2026 16:18,BNK10018
TXN019,BATCH5001,4200,INR,SETTLED,01-09-2026 17:32,01-09-2026 20:17,BNK10019
TXN020,BATCH5002,5000,INR,SETTLED,03-09-2026 07:42,03-09-2026 10:46,BNK10020
TXN021,BATCH5002,2000,INR,SETTLED,01-09-2026 08:36,01-09-2026 12:02,BNK10021
TXN022,BATCH5002,800,INR,SETTLED,03-09-2026 13:28,03-09-2026 14:19,BNK10022
TXN023,BATCH5002,4200,INR,SETTLED,03-09-2026 21:32,03-09-2026 23:39,BNK10023
TXN024,BATCH5002,3500,INR,SETTLED,03-09-2026 21:23,04-09-2026 00:29,BNK10024
TXN025,BATCH5002,6000,INR,SETTLED,03-09-2026 14:55,03-09-2026 18:23,BNK10025
TXN026,BATCH5002,1500,INR,SETTLED,01-09-2026 11:06,01-09-2026 12:11,BNK10026
TXN027,BATCH5002,10000,INR,SETTLED,02-09-2026 14:36,02-09-2026 17:25,BNK10027
TXN028,BATCH5002,3300,INR,SETTLED,01-09-2026 11:36,01-09-2026 13:34,BNK10028
TXN029,BATCH5002,3500,INR,SETTLED,03-09-2026 08:58,03-09-2026 12:09,BNK10029
TXN030,BATCH5003,950,INR,SETTLED,01-09-2026 13:47,01-09-2026 16:40,BNK10030
TXN031,BATCH5003,1800,INR,SETTLED,02-09-2026 16:48,02-09-2026 18:47,BNK10031
TXN032,BATCH5003,950,INR,SETTLED,01-09-2026 07:47,01-09-2026 10:32,BNK10032
TXN033,BATCH5003,4000,INR,SETTLED,01-09-2026 21:34,01-09-2026 22:58,BNK10033
TXN034,BATCH5003,1800,INR,SETTLED,02-09-2026 17:06,02-09-2026 19:40,BNK10034
TXN035,BATCH5003,1250,INR,SETTLED,01-09-2026 08:59,01-09-2026 12:25,BNK10035
TXN036,BATCH5003,4200,INR,SETTLED,03-09-2026 12:50,03-09-2026 15:08,BNK10036
TXN037,BATCH5003,800,INR,SETTLED,03-09-2026 16:53,03-09-2026 18:04,BNK10037
TXN038,BATCH5003,7500,INR,SETTLED,01-09-2026 21:48,01-09-2026 23:56,BNK10038
TXN039,BATCH5003,1500,INR,SETTLED,02-09-2026 21:05,02-09-2026 22:29,BNK10039
TXN040,BATCH5004,500,INR,SETTLED,02-09-2026 12:13,02-09-2026 13:21,BNK10040
TXN041,BATCH5004,2750,INR,SETTLED,01-09-2026 16:15,01-09-2026 18:17,BNK10041
TXN042,BATCH5004,12000,INR,SETTLED,03-09-2026 01:49,03-09-2026 02:07,BNK10042
TXN043,BATCH5004,1800,INR,SETTLED,01-09-2026 11:56,01-09-2026 14:06,BNK10043
TXN044,BATCH5004,1250,INR,SETTLED,03-09-2026 19:22,03-09-2026 20:45,BNK10044
TXN045,BATCH5004,750,INR,SETTLED,01-09-2026 20:53,02-09-2026 00:15,BNK10045
TXN046,BATCH5004,8000,INR,SETTLED,02-09-2026 15:10,02-09-2026 15:48,BNK10046
TXN047,BATCH5004,800,INR,SETTLED,03-09-2026 14:03,03-09-2026 15:10,BNK10047
TXN048,BATCH5004,3300,INR,SETTLED,01-09-2026 09:50,01-09-2026 11:33,BNK10048
TXN049,BATCH5004,10000,INR,SETTLED,01-09-2026 21:27,01-09-2026 22:37,BNK10049
TXN050,BATCH5005,1500,INR,SETTLED,01-09-2026 13:41,01-09-2026 16:44,BNK10050
TXN051,BATCH5005,3300,INR,SETTLED,03-09-2026 15:54,03-09-2026 18:13,BNK10051
TXN052,BATCH5005,4000,INR,SETTLED,01-09-2026 15:21,01-09-2026 17:12,BNK10052
TXN053,BATCH5005,1500,INR,SETTLED,01-09-2026 13:42,01-09-2026 17:15,BNK10053
TXN054,BATCH5005,2750,INR,SETTLED,03-09-2026 23:32,04-09-2026 02:33,BNK10054
TXN055,BATCH5005,1200,INR,SETTLED,03-09-2026 16:30,03-09-2026 18:49,BNK10055
TXN056,BATCH5005,3300,INR,SETTLED,04-09-2026 00:12,04-09-2026 02:10,BNK10056
