transaction_id,order_id,amount,currency,status,created_at,captured_at,settlement_batch
DEMO001,ORD5001,1250,INR,CAPTURED,01-09-2026 10:12,01-09-2026 10:12,BATCH001
DEMO002,ORD5002,2400,INR,CAPTURED,01-09-2026 12:01,01-09-2026 12:01,BATCH002
DEMO003,ORD5003,3100,INR,CAPTURED,01-09-2026 09:30,01-09-2026 09:30,BATCH003
DEMO004,ORD5004,1500,INR,CAPTURED,01-09-2026 11:00,01-09-2026 11:00,BATCH004
DEMO005,ORD5005,800,INR,CAPTURED,01-09-2026 13:45,01-09-2026 13:45,BATCH005
DEMO006,ORD5006,4200,INR,FAILED,01-09-2026 14:20,,BATCH006
DEMO007,ORD5007,950,INR,CAPTURED,01-09-2026 15:10,01-09-2026 15:10,BATCH007
DEMO008,ORD5008,2200,INR,CAPTURED,01-09-2026 16:00,01-09-2026 16:00,BATCH008
DEMO009,ORD5009,1800,INR,CAPTURED,01-09-2026 08:00,01-09-2026 08:00,BATCH009
DEMO010,ORD5010,3300,INR,CAPTURED,01-09-2026 17:00,01-09-2026 17:00,BATCH010
DEMO010,ORD5010B,3300,INR,CAPTURED,01-09-2026 17:00,01-09-2026 17:00,BATCH010
DEMO011,ORD5011,5000,INR,CAPTURED,01-09-2026 18:30,01-09-2026 18:30,BATCH011
TXN001,ORD001,8000,INR,CAPTURED,01-09-2026 06:47,01-09-2026 06:47,BATCH5000
TXN002,ORD002,10000,INR,CAPTURED,03-09-2026 08:37,03-09-2026 08:37,BATCH5000
TXN003,ORD003,1500,INR,CAPTURED,03-09-2026 06:35,03-09-2026 06:35,BATCH5000
TXN004,ORD004,1800,INR,CAPTURED,01-09-2026 11:44,01-09-2026 11:44,BATCH5000
TXN005,ORD005,20000,INR,CAPTURED,02-09-2026 09:05,02-09-2026 09:05,BATCH5000
TXN006,ORD006,7500,INR,CAPTURED,02-09-2026 07:46,02-09-2026 07:46,BATCH5000
TXN007,ORD007,2000,INR,CAPTURED,03-09-2026 17:36,03-09-2026 17:36,BATCH5000
TXN008,ORD008,20000,INR,CAPTURED,02-09-2026 08:54,02-09-2026 08:54,BATCH5000
TXN009,ORD009,8000,INR,CAPTURED,02-09-2026 11:23,02-09-2026 11:23,BATCH5000
TXN010,ORD010,7500,INR,CAPTURED,03-09-2026 11:34,03-09-2026 11:34,BATCH5001
TXN011,ORD011,1800,INR,CAPTURED,03-09-2026 13:43,03-09-2026 13:43,BATCH5001
TXN012,ORD012,2400,INR,CAPTURED,02-09-2026 14:04,02-09-2026 14:04,BATCH5001
TXN013,ORD013,3000,INR,CAPTURED,03-09-2026 20:09,03-09-2026 20:09,BATCH5001
TXN014,ORD014,5000,INR,CAPTURED,02-09-2026 19:57,02-09-2026 19:57,BATCH5001
TXN015,ORD015,4200,INR,CAPTURED,02-09-2026 08:48,02-09-2026 08:48,BATCH5001
TXN016,ORD016,10000,INR,CAPTURED,02-09-2026 08:24,02-09-2026 08:24,BATCH5001
TXN017,ORD017,500,INR,CAPTURED,03-09-2026 09:43,03-09-2026 09:44,BATCH5001
TXN018,ORD018,2000,INR,CAPTURED,02-09-2026 11:29,02-09-2026 11:29,BATCH5001
TXN019,ORD019,4200,INR,CAPTURED,01-09-2026 15:53,01-09-2026 15:53,BATCH5001
TXN020,ORD020,5000,INR,CAPTURED,03-09-2026 06:38,03-09-2026 06:38,BATCH5002
TXN021,ORD021,2000,INR,CAPTURED,01-09-2026 07:15,01-09-2026 07:16,BATCH5002
TXN022,ORD022,800,INR,CAPTURED,03-09-2026 10:08,03-09-2026 10:08,BATCH5002
TXN023,ORD023,4200,INR,CAPTURED,03-09-2026 19:13,03-09-2026 19:14,BATCH5002
TXN024,ORD024,3500,INR,CAPTURED,03-09-2026 20:07,03-09-2026 20:07,BATCH5002
TXN025,ORD025,6000,INR,CAPTURED,03-09-2026 13:37,03-09-2026 13:37,BATCH5002
TXN026,ORD026,1500,INR,CAPTURED,01-09-2026 07:55,01-09-2026 07:55,BATCH5002
TXN027,ORD027,10000,INR,CAPTURED,02-09-2026 12:34,02-09-2026 12:34,BATCH5002
TXN028,ORD028,3300,INR,CAPTURED,01-09-2026 09:06,01-09-2026 09:06,BATCH5002
TXN029,ORD029,3500,INR,CAPTURED,03-09-2026 07:43,03-09-2026 07:43,BATCH5002
TXN030,ORD030,950,INR,CAPTURED,01-09-2026 12:12,01-09-2026 12:12,BATCH5003
TXN031,ORD031,1800,INR,CAPTURED,02-09-2026 13:55,02-09-2026 13:56,BATCH5003
TXN032,ORD032,950,INR,CAPTURED,01-09-2026 06:05,01-09-2026 06:06,BATCH5003
TXN033,ORD033,4000,INR,CAPTURED,01-09-2026 18:57,01-09-2026 18:57,BATCH5003
TXN034,ORD034,1800,INR,CAPTURED,02-09-2026 15:27,02-09-2026 15:27,BATCH5003
TXN035,ORD035,1250,INR,CAPTURED,01-09-2026 07:47,01-09-2026 07:47,BATCH5003
TXN036,ORD036,4200,INR,CAPTURED,03-09-2026 11:03,03-09-2026 11:03,BATCH5003
TXN037,ORD037,800,INR,CAPTURED,03-09-2026 13:25,03-09-2026 13:25,BATCH5003
TXN038,ORD038,7500,INR,CAPTURED,01-09-2026 19:42,01-09-2026 19:42,BATCH5003
TXN039,ORD039,1500,INR,CAPTURED,02-09-2026 18:08,02-09-2026 18:08,BATCH5003
TXN040,ORD040,500,INR,CAPTURED,02-09-2026 09:04,02-09-2026 09:04,BATCH5004
TXN041,ORD041,2750,INR,CAPTURED,01-09-2026 13:23,01-09-2026 13:23,BATCH5004
TXN042,ORD042,12000,INR,CAPTURED,02-09-2026 22:00,02-09-2026 22:00,BATCH5004
TXN043,ORD043,1800,INR,CAPTURED,01-09-2026 09:47,01-09-2026 09:47,BATCH5004
TXN044,ORD044,1250,INR,CAPTURED,03-09-2026 16:13,03-09-2026 16:13,BATCH5004
