transaction_id,amount,currency,status,entry_type,created_at,posted_at,ledger_reference
DEMO001,1250,INR,POSTED,CREDIT,2026-09-01 14:06:00,2026-09-01 14:07:01,LED1001
DEMO002,2400,INR,PENDING,CREDIT,2026-09-01 15:01:00,,LED1002
DEMO003,3100,INR,PENDING,CREDIT,2026-09-01 12:11:00,,LED1003
DEMO004,1500,INR,POSTED,CREDIT,2026-09-01 14:36:00,2026-09-01 14:37:00,LED1004
DEMO007,950,INR,REJECTED,CREDIT,2026-09-01 17:01:00,,LED1007
DEMO008,2200,INR,POSTED,CREDIT,2026-09-01 18:36:00,2026-09-01 18:37:00,LED1008
DEMO009,1800,INR,POSTED,CREDIT,2026-09-01 14:00:00,2026-09-01 14:00:30,LED1009
DEMO010,3300,INR,POSTED,CREDIT,2026-09-01 19:36:00,2026-09-01 19:37:00,LED1010
DEMO011,5000,INR,PENDING,CREDIT,2026-09-01 21:01:00,,LED1011
TXN001,8000,INR,POSTED,CREDIT,2026-09-01 10:56:17,2026-09-01 11:51:17,LED20001
TXN002,10000,INR,POSTED,CREDIT,2026-09-03 12:43:27,2026-09-03 13:44:27,LED20002
TXN003,1500,INR,POSTED,CREDIT,2026-09-03 11:04:12,2026-09-03 11:54:12,LED20003
TXN004,1800,INR,POSTED,CREDIT,2026-09-01 15:54:27,2026-09-01 16:51:27,LED20004
TXN005,20000,INR,POSTED,CREDIT,2026-09-02 14:00:24,2026-09-02 14:17:24,LED20005
TXN006,7500,INR,POSTED,CREDIT,2026-09-02 11:52:29,2026-09-02 13:04:29,LED20006
TXN007,2000,INR,POSTED,CREDIT,2026-09-03 22:19:12,2026-09-03 22:44:12,LED20007
TXN008,20000,INR,POSTED,CREDIT,2026-09-02 13:12:14,2026-09-02 14:09:14,LED20008
TXN009,8000,INR,POSTED,CREDIT,2026-09-02 15:41:22,2026-09-02 16:26:22,LED20009
TXN010,7500,INR,POSTED,CREDIT,2026-09-03 16:04:46,2026-09-03 16:47:46,LED20010
TXN011,1800,INR,POSTED,CREDIT,2026-09-03 18:36:20,2026-09-03 18:45:20,LED20011
TXN012,2400,INR,POSTED,CREDIT,2026-09-02 18:46:13,2026-09-02 19:20:13,LED20012
TXN013,3000,INR,POSTED,CREDIT,2026-09-04 00:57:16,2026-09-04 01:27:16,LED20013
TXN014,5000,INR,POSTED,CREDIT,2026-09-03 00:12:37,2026-09-03 01:02:37,LED20014
TXN015,4200,INR,POSTED,CREDIT,2026-09-02 13:29:03,2026-09-02 13:54:03,LED20015
TXN016,10000,INR,POSTED,CREDIT,2026-09-02 12:41:24,2026-09-02 13:42:24,LED20016
TXN017,500,INR,POSTED,CREDIT,2026-09-03 14:05:56,2026-09-03 14:47:56,LED20017
TXN018,2000,INR,POSTED,CREDIT,2026-09-02 16:18:00,2026-09-02 16:35:00,LED20018
TXN019,4200,INR,POSTED,CREDIT,2026-09-01 20:17:40,2026-09-01 20:59:40,LED20019
TXN020,5000,INR,POSTED,CREDIT,2026-09-03 10:46:20,2026-09-03 11:50:20,LED20020
TXN021,2000,INR,POSTED,CREDIT,2026-09-01 12:02:56,2026-09-01 12:31:56,LED20021
TXN022,800,INR,POSTED,CREDIT,2026-09-03 14:19:42,2026-09-03 15:17:42,LED20022
TXN023,4200,INR,POSTED,CREDIT,2026-09-03 23:39:59,2026-09-04 00:25:59,LED20023
TXN024,3500,INR,POSTED,CREDIT,2026-09-04 00:29:15,2026-09-04 01:08:15,LED20024
TXN025,6000,INR,POSTED,CREDIT,2026-09-03 18:23:14,2026-09-03 18:39:14,LED20025
TXN026,1500,INR,POSTED,CREDIT,2026-09-01 12:11:21,2026-09-01 13:04:21,LED20026
TXN027,10000,INR,POSTED,CREDIT,2026-09-02 17:25:08,2026-09-02 17:50:08,LED20027
TXN028,3300,INR,POSTED,CREDIT,2026-09-01 13:34:42,2026-09-01 14:20:42,LED20028
TXN029,3500,INR,POSTED,CREDIT,2026-09-03 12:09:41,2026-09-03 12:54:41,LED20029
TXN030,950,INR,POSTED,CREDIT,2026-09-01 16:40:34,2026-09-01 17:18:34,LED20030
TXN031,1800,INR,POSTED,CREDIT,2026-09-02 18:47:59,2026-09-02 19:13:59,LED20031
TXN032,950,INR,POSTED,CREDIT,2026-09-01 10:32:59,2026-09-01 11:21:59,LED20032
TXN033,4000,INR,POSTED,CREDIT,2026-09-01 22:58:03,2026-09-02 00:10:03,LED20033
TXN034,1800,INR,POSTED,CREDIT,2026-09-02 19:40:44,2026-09-02 20:37:44,LED20034
TXN035,1250,INR,POSTED,CREDIT,2026-09-01 12:25:20,2026-09-01 13:03:20,LED20035
TXN036,4200,INR,POSTED,CREDIT,2026-09-03 15:08:32,2026-09-03 16:23:32,LED20036
TXN037,800,INR,POSTED,CREDIT,2026-09-03 18:04:07,2026-09-03 18:27:07,LED20037
TXN038,7500,INR,POSTED,CREDIT,2026-09-01 23:56:37,2026-09-02 00:53:37,LED20038
TXN039,1500,INR,POSTED,CREDIT,2026-09-02 22:29:42,2026-09-02 23:11:42,LED20039
TXN040,500,INR,POSTED,CREDIT,2026-09-02 13:21:34,2026-09-02 14:09:34,LED20040
TXN041,2750,INR,POSTED,CREDIT,2026-09-01 18:17:18,2026-09-01 18:41:18,LED20041
TXN042,12000,INR,POSTED,CREDIT,2026-09-03 02:07:42,2026-09-03 03:05:42,LED20042
TXN043,1800,INR,POSTED,CREDIT,2026-09-01 14:06:35,2026-09-01 15:07:35,LED20043
TXN044,1250,INR,POSTED,CREDIT,2026-09-03 20:45:43,2026-09-03 21:22:43,LED20044
TXN045,750,INR,POSTED,CREDIT,2026-09-02 00:15:17,2026-09-02 00:58:17,LED20045
TXN046,8000,INR,POSTED,CREDIT,2026-09-02 15:48:28,2026-09-02 16:51:28,LED20046
TXN047,800,INR,POSTED,CREDIT,2026-09-03 15:10:02,2026-09-03 15:39:02,LED20047
TXN048,3300,INR,POSTED,CREDIT,2026-09-01 11:33:23,2026-09-01 12:27:23,LED20048
TXN049,10000,INR,POSTED,CREDIT,2026-09-01 22:37:35,2026-09-01 22:54:35,LED20049
TXN050,1500,INR,POSTED,CREDIT,2026-09-01 16:44:26,2026-09-01 17:07:26,LED20050
TXN051,3300,INR,POSTED,CREDIT,2026-09-03 18:13:10,2026-09-03 18:19:10,LED20051
TXN052,4000,INR,POSTED,CREDIT,2026-09-01 17:12:58,2026-09-01 18:00:58,LED20052
TXN053,1500,INR,POSTED,CREDIT,2026-09-01 17:15:21,2026-09-01 17:34:21,LED20053
TXN054,2750,INR,POSTED,CREDIT,2026-09-04 02:33:43,2026-09-04 03:34:43,LED20054
TXN055,1200,INR,POSTED,CREDIT,2026-09-03 18:49:06,2026-09-03 19:13:06,LED20055
TXN056,3300,INR,POSTED,CREDIT,2026-09-04 02:10:24,2026-09-04 03:21:24,LED20056
TXN057,500,INR,POSTED,CREDIT,2026-09-03 17:22:27,2026-09-03 17:34:27,LED20057
TXN058,7500,INR,POSTED,CREDIT,2026-09-02 14:06:57,2026-09-02 15:00:57,LED20058
TXN059,2400,INR,POSTED,CREDIT,2026-09-02 20:18:08,2026-09-02 20:48:08,LED20059
TXN060,10000,INR,POSTED,CREDIT,2026-09-03 16:15:36,2026-09-03 16:40:36,LED20060
TXN061,2000,INR,POSTED,CREDIT,2026-09-02 16:56:50,2026-09-02 17:42:50,LED20061
TXN062,10000,INR,POSTED,CREDIT,2026-09-02 02:36:50,2026-09-02 03:40:50,LED20062
TXN063,4200,INR,POSTED,CREDIT,2026-09-03 20:25:52,2026-09-03 21:13:52,LED20063
TXN064,1250,INR,POSTED,CREDIT,2026-09-01 10:57:15,2026-09-01 11:05:15,LED20064
TXN065,3500,INR,POSTED,CREDIT,2026-09-02 17:11:44,2026-09-02 17:53:44,LED20065
TXN066,1000,INR,POSTED,CREDIT,2026-09-03 11:12:48,2026-09-03 12:03:48,LED20066
TXN067,12000,INR,POSTED,CREDIT,2026-09-04 00:33:35,2026-09-04 01:08:35,LED20067
TXN068,3500,INR,POSTED,CREDIT,2026-09-04 03:15:38,2026-09-04 03:52:38,LED20068
TXN069,3300,INR,POSTED,CREDIT,2026-09-04 01:14:10,2026-09-04 02:05:10,LED20069
TXN070,8000,INR,POSTED,CREDIT,2026-09-03 03:00:40,2026-09-03 03:34:40,LED20070
TXN071,12000,INR,POSTED,CREDIT,2026-09-02 17:23:21,2026-09-02 18:22:21,LED20071
TXN072,1000,INR,POSTED,CREDIT,2026-09-01 23:11:09,2026-09-01 23:58:09,LED20072
TXN073,2400,INR,POSTED,CREDIT,2026-09-04 00:51:03,2026-09-04 01:45:03,LED20073
TXN074,12000,INR,POSTED,CREDIT,2026-09-01 23:19:00,2026-09-01 23:43:00,LED20074
TXN075,3300,INR,POSTED,CREDIT,2026-09-03 18:03:14,2026-09-03 18:32:14,LED20075
TXN076,3000,INR,POSTED,CREDIT,2026-09-02 23:26:10,2026-09-03 00:04:10,LED20076
TXN077,500,INR,POSTED,CREDIT,2026-09-02 11:01:41,2026-09-02 11:20:41,LED20077
TXN078,1200,INR,POSTED,CREDIT,2026-09-01 18:45:20,2026-09-01 19:35:20,LED20078
TXN079,20000,INR,POSTED,CREDIT,2026-09-02 19:42:53,2026-09-02 19:51:53,LED20079
TXN080,4000,INR,POSTED,CREDIT,2026-09-01 11:25:14,2026-09-01 12:23:14,LED20080
TXN081,1500,INR,POSTED,CREDIT,2026-09-01 11:10:09,2026-09-01 11:43:09,LED20081
TXN082,6000,INR,POSTED,CREDIT,2026-09-02 01:23:16,2026-09-02 02:04:16,LED20082
TXN083,15000,INR,POSTED,CREDIT,2026-09-03 13:56:52,2026-09-03 15:08:52,LED20083
TXN084,500,INR,POSTED,CREDIT,2026-09-02 23:03:45,2026-09-02 23:33:45,LED20084
TXN085,950,INR,POSTED,CREDIT,2026-09-03 20:45:43,2026-09-03 20:56:43,LED20085
TXN086,2750,INR,POSTED,CREDIT,2026-09-04 00:24:23,2026-09-04 00:53:23,LED20086
TXN087,500,INR,POSTED,CREDIT,2026-09-03 02:04:27,2026-09-03 02:21:27,LED20087
TXN088,12000,INR,POSTED,CREDIT,2026-09-02 00:03:46,2026-09-02 00:29:46,LED20088
TXN089,20000,INR,POSTED,CREDIT,2026-09-03 01:22:52,2026-09-03 01:35:52,LED20089
TXN090,800,INR,POSTED,CREDIT,2026-09-03 00:55:48,2026-09-03 01:28:48,LED20090
TXN091,2400,INR,POSTED,CREDIT,2026-09-02 02:08:20,2026-09-02 03:06:20,LED20091
TXN092,1800,INR,POSTED,CREDIT,2026-09-02 18:57:38,2026-09-02 20:13:38,LED20092
TXN093,1250,INR,POSTED,CREDIT,2026-09-01 18:35:26,2026-09-01 18:54:26,LED20093
TXN094,12000,INR,POSTED,CREDIT,2026-09-03 01:47:50,2026-09-03 02:36:50,LED20094
TXN095,3000,INR,POSTED,CREDIT,2026-09-03 17:55:42,2026-09-03 18:36:42,LED20095
TXN096,2750,INR,POSTED,CREDIT,2026-09-02 20:42:44,2026-09-02 21:31:44,LED20096
